Id,R/O_final,Country,Entry,Artist,Song,Language,Placing,Year,R/O,Event
198,6.0,Italy,14,Iva Zanicchi,Due grosse lacrime bianche,Italian,13,1969,,
199,7.0,United Kingdom,12,Lulu,Boom Bang-a-Bang,English,1,1969,,
200,8.0,Netherlands,14,Lenny Kuhr,De troubadour,Dutch,1,1969,,
201,9.0,Sweden,11,Tommy Körberg,"Judy, min vän",Swedish,9,1969,,
202,10.0,Belgium,14,Louis Neefs,Jennifer Jennings,Dutch,7,1969,,
203,11.0,Switzerland,14,Paola del Medico,"Bonjour, bonjour",German,5,1969,,
204,12.0,Norway,10,Kirsti Sparboe,"Oj, oj, oj, så glad jeg skal bli",Norwegian,16,1969,,
205,13.0,Germany,14,Siw Malmkvist,Primaballerina,German,9,1969,,
206,14.0,France,14,Frida Boccara,"Un jour, un enfant",French,1,1969,,
207,15.0,Portugal,6,Simone de Oliveira,Desfolhada portuguesa,Portuguese,15,1969,,
208,16.0,Finland,9,Jarkko & Laura,Kuin silloin ennen,Finnish,12,1969,,
209,1.0,Netherlands,15,Patricia & Hearts of Soul,Waterman,Dutch,7,1970,,
210,2.0,Switzerland,15,Henri Dès,Retour,French,4,1970,,
211,3.0,Italy,15,Gianni Morandi,Occhi di ragazza,Italian,8,1970,,
212,4.0,Yugoslavia,10,Eva Sršen,"Pridi, dala ti bom cvet",Slovene,11,1970,,
213,5.0,Belgium,15,Jean Vallée,Viens l'oublier,French,8,1970,,
214,6.0,France,15,Guy Bonnet,Marie-Blanche,French,4,1970,,
215,7.0,United Kingdom,13,Mary Hopkin,"Knock, Knock Who's There?",English,2,1970,,
216,8.0,Luxembourg,14,David Alexandre Winter,Je suis tombé du ciel,French,12,1970,,
217,9.0,Spain,10,Julio Iglesias,Gwendolyne,Spanish,4,1970,,
218,10.0,Monaco,12,Dominique Dussault,Marlène,French,8,1970,,
219,11.0,Germany,15,Katja Ebstein,Wunder gibt es immer wieder,German,3,1970,,
220,12.0,Ireland,6,Dana,All Kinds of Everything,English,1,1970,,
221,1.0,Austria,13,Marianne Mendt,Musik,Viennese,16,1971,,
222,2.0,Malta,1,Joe Grech,Marija l-Maltija,Maltese,18,1971,,
223,3.0,Monaco,13,Séverine,"Un banc, un arbre, une rue",French,1,1971,,
224,4.0,Switzerland,16,"Peter, Sue and Marc",Les illusions de nos vingt ans,French,12,1971,,
225,5.0,Germany,16,Katja Ebstein,Diese Welt,German,3,1971,,
226,6.0,Spain,11,Karina,En un mundo nuevo,Spanish,2,1971,,
227,7.0,France,16,Serge Lama,Un jardin sur la terre,French,10,1971,,
228,8.0,Luxembourg,15,Monique Melsen,"Pomme, pomme, pomme",French,13,1971,,
229,9.0,United Kingdom,14,Clodagh Rodgers,Jack in the Box,English,4,1971,,
230,10.0,Belgium,16,Lily Castel & Jacques Raymond,"Goeiemorgen, morgen",Dutch,14,1971,,
231,11.0,Italy,16,Massimo Ranieri,L'amore è un attimo,Italian,5,1971,,
232,12.0,Sweden,12,Family Four,Vita vidder,Swedish,6,1971,,
233,13.0,Ireland,7,Angela Farrell,One Day Love,English,11,1971,,
234,14.0,Netherlands,16,Saskia & Serge,Tijd,Dutch,6,1971,,
235,15.0,Portugal,7,Tonicha,Menina do alto da serra,Portuguese,9,1971,,
236,16.0,Yugoslavia,11,Krunoslav Slabinac,Tvoj dječak je tužan (Твој дјечак је тужан),Serbo-Croatian,14,1971,,
237,17.0,Finland,10,Markku Aro & Koivistolaiset [fi],Tie uuteen päivään,Finnish,8,1971,,
238,18.0,Norway,11,Hanne Krogh,Lykken er,Norwegian,17,1971,,
239,1.0,Germany,17,Mary Roos,Nur die Liebe läßt uns leben,German,3,1972,,
240,2.0,France,17,Betty Mars,Comé-comédie,French,11,1972,,
241,3.0,Ireland,8,Sandie Jones,Ceol an ghrá,Irish,15,1972,,
242,4.0,Spain,12,Jaime Morey,Amanece,Spanish,10,1972,,
243,5.0,United Kingdom,15,The New Seekers,"Beg, Steal or Borrow",English,2,1972,,
244,6.0,Norway,12,Grethe Kausland & Benny Borg,Småting,Norwegian,14,1972,,
245,7.0,Portugal,8,Carlos Mendes,A festa da vida,Portuguese,7,1972,,
246,8.0,Switzerland,17,Véronique Müller,C'est la chanson de mon amour,French,8,1972,,
247,9.0,Malta,2,Helen & Joseph,L-imħabba,Maltese,18,1972,,
248,10.0,Finland,11,Päivi Paunu & Kim Floor,Muistathan,Finnish,12,1972,,
249,11.0,Austria,14,Milestones,Falter im Wind,German,5,1972,,
250,12.0,Italy,17,Nicola Di Bari,I giorni dell'arcobaleno,Italian,6,1972,,
251,13.0,Yugoslavia,12,Tereza Kesovija,Muzika i ti (Музика и ти),Serbo-Croatian,9,1972,,
252,14.0,Sweden,13,Family Four,Härliga sommardag,Swedish,13,1972,,
253,15.0,Monaco,14,Anne-Marie Godart [fr] & Peter McLane [fr],Comme on s'aime,French,16,1972,,
254,16.0,Belgium,17,Serge & Christine Ghisoland,À la folie ou pas du tout,French,17,1972,,
255,17.0,Luxembourg,16,Vicky Leandros,Après toi,French,1,1972,,
256,18.0,Netherlands,17,Sandra & Andres,Als het om de liefde gaat,Dutch,4,1972,,
257,1.0,Finland,12,Marion Rung,Tom Tom Tom,English,6,1973,,
258,2.0,Belgium,18,Nicole & Hugo,"Baby, Baby",Dutch[b][c][d],17,1973,,
259,3.0,Portugal,9,Fernando Tordo,Tourada,Portuguese,10,1973,,
260,4.0,Germany,18,Gitte,Junger Tag,German,8,1973,,
261,5.0,Norway,13,Bendik Singers,It's Just a Game,"English, French[d][e][f][g][h][i][j][k][l][m]",7,1973,,
262,6.0,Monaco,15,Marie,Un train qui part,French,8,1973,,
263,7.0,Spain,13,Mocedades,Eres tú,Spanish,2,1973,,
264,8.0,Switzerland,18,Patrick Juvet,"Je vais me marier, Marie",French,12,1973,,
265,9.0,Yugoslavia,13,Zdravko Čolić,Gori vatra (Гори ватра),Serbo-Croatian,15,1973,,
266,10.0,Italy,18,Massimo Ranieri,Chi sarà con te,Italian,13,1973,,
267,11.0,Luxembourg,17,Anne-Marie David,Tu te reconnaîtras,French,1,1973,,
268,12.0,Sweden,14,The Nova & The Dolls,You're Summer,English,5,1973,,
269,13.0,Netherlands,18,Ben Cramer,De oude muzikant,Dutch,14,1973,,
270,14.0,Ireland,9,Maxi,Do I Dream,English,10,1973,,
271,15.0,United Kingdom,16,Cliff Richard,Power to All Our Friends,English,3,1973,,
272,16.0,France,18,Martine Clémenceau,Sans toi,French,15,1973,,
273,17.0,Israel,1,Ilanit,Ey Sham (אי שם),Hebrew,4,1973,,
274,1.0,Finland,13,Carita,Keep Me Warm,English,13,1974,,
275,2.0,United Kingdom,17,Olivia Newton-John,Long Live Love,English,4,1974,,
276,3.0,Spain,14,Peret,Canta y sé feliz,Spanish,9,1974,,
277,4.0,Norway,14,Anne-Karine Strøm & Bendik Singers,The First Day of Love,English,14,1974,,
278,5.0,Greece,1,Marinella,"Krasi, thalassa ke t' agori mou (Κρασί, θάλασσα και τ' αγόρι μου)",Greek,11,1974,,
279,6.0,Israel,2,Poogy,Natati La Khayay (נתתי לה חיי),Hebrew,7,1974,,
280,7.0,Yugoslavia,14,Korni Grupa,Generacija '42 (Генерација '42),Serbo-Croatian,12,1974,,
281,8.0,Sweden,15,ABBA,Waterloo,English,1,1974,,
282,9.0,Luxembourg,18,Ireen Sheer,Bye Bye I Love You,French[c],4,1974,,
283,10.0,Monaco,16,Romuald,Celui qui reste et celui qui s'en va,French,4,1974,,
284,11.0,Belgium,19,Jacques Hustin,Fleur de liberté,French,9,1974,,
285,12.0,Netherlands,19,Mouth & MacNeal,I See a Star,English,3,1974,,
286,13.0,Ireland,10,Tina Reynolds,Cross Your Heart,English,7,1974,,
287,14.0,Germany,19,Cindy & Bert,Die Sommermelodie,German,14,1974,,
288,15.0,Switzerland,19,Piera Martell,Mein Ruf nach dir,German,14,1974,,
289,16.0,Portugal,10,Paulo de Carvalho,E depois do adeus,Portuguese,14,1974,,
290,17.0,Italy,19,Gigliola Cinquetti,Sì,Italian,2,1974,,
291,1.0,Netherlands,20,Teach-In,Ding-a-Dong,English,1,1975,,
292,2.0,Ireland,11,The Swarbriggs,That's What Friends Are For,English,9,1975,,
293,3.0,France,19,Nicole Rieu,Et bonjour à toi l'artiste,French,4,1975,,
294,4.0,Germany,20,Joy Fleming,Ein Lied kann eine Brücke sein,"German, English",17,1975,,
295,5.0,Luxembourg,19,Geraldine,Toi,French,5,1975,,
296,6.0,Norway,15,Ellen Nikolaysen,Touch My Life (With Summer),English,18,1975,,
297,7.0,Switzerland,20,Simone Drexel,Mikado,German,6,1975,,
298,8.0,Yugoslavia,15,Pepel in kri [sl],Dan ljubezni,Slovene,13,1975,,
299,9.0,United Kingdom,18,The Shadows,Let Me Be the One,English,2,1975,,
300,10.0,Malta,3,Renato,Singing This Song,English,12,1975,,
301,11.0,Belgium,20,Ann Christy,Gelukkig zijn,"Dutch, English",15,1975,,
302,12.0,Israel,3,Shlomo Artzi,At Ve'Ani (את ואני),Hebrew,11,1975,,
303,13.0,Turkey,1,Semiha Yankı,Seninle Bir Dakika,Turkish,19,1975,,
304,14.0,Monaco,17,Sophie,Une chanson c'est une lettre,French,13,1975,,
305,15.0,Finland,14,Pihasoittajat,Old Man Fiddle,English,7,1975,,
306,16.0,Portugal,11,Duarte Mendes,Madrugada,Portuguese,16,1975,,
307,17.0,Spain,15,Sergio & Estíbaliz,Tú volverás,Spanish,10,1975,,
308,18.0,Sweden,16,Lasse Berghagen & The Dolls,"Jennie, Jennie",English,8,1975,,
309,19.0,Italy,20,Wess & Dori Ghezzi,Era,Italian,3,1975,,
310,1.0,United Kingdom,19,Brotherhood of Man,Save Your Kisses for Me,English,1,1976,,
311,2.0,Switzerland,21,"Peter, Sue and Marc","Djambo, Djambo",English,4,1976,,
312,3.0,Germany,21,Les Humphries Singers,Sing Sang Song,German,15,1976,,
313,4.0,Israel,4,"Chocolate, Menta, Mastik",Emor Shalom (אמור שלום),Hebrew,6,1976,,
314,5.0,Luxembourg,20,Jürgen Marcus,Chansons pour ceux qui s'aiment,French,14,1976,,
315,6.0,Belgium,21,Pierre Rapsat,Judy et Cie,French,8,1976,,
316,7.0,Ireland,12,Red Hurley,When,English,10,1976,,
317,8.0,Netherlands,21,Sandra Reemer,The Party's Over,English,9,1976,,
318,9.0,Norway,16,Anne-Karine Strøm,Mata Hari,English,18,1976,,
319,10.0,Greece,2,Mariza Koch,"Panagia mou, Panagia mou (Παναγιά μου, Παναγιά μου)",Greek,13,1976,,
320,11.0,Finland,15,Fredi & The Friends,Pump-Pump,English,11,1976,,
321,12.0,Spain,16,Braulio,Sobran las palabras,Spanish,16,1976,,
322,13.0,Italy,21,Al Bano & Romina Power,We'll Live It All Again,"English, Italian",7,1976,,
323,14.0,Austria,15,Waterloo & Robinson,My Little World,English,5,1976,,
324,15.0,Portugal,12,Carlos do Carmo,Uma flor de verde pinho,Portuguese,12,1976,,
325,16.0,Monaco,18,Mary Christy,"Toi, la musique et moi",French,3,1976,,
326,17.0,France,20,Catherine Ferry,"Un, deux, trois",French,2,1976,,
327,18.0,Yugoslavia,16,Ambasadori,Ne mogu skriti svoju bol (Не могу скрити своју бол),Serbo-Croatian,17,1976,,
328,1.0,Ireland,13,The Swarbriggs Plus Two,It's Nice to Be in Love Again,English,3,1977,,
329,2.0,Monaco,19,Michèle Torr,Une petite française,French,4,1977,,
330,3.0,Netherlands,22,Heddy Lester,De mallemolen,Dutch,12,1977,,
331,4.0,Austria,16,Schmetterlinge [de],Boom Boom Boomerang,German[c],17,1977,,
332,5.0,Norway,17,Anita Skorgan,Casanova,Norwegian,14,1977,,
333,6.0,Germany,22,Silver Convention,Telegram,English,8,1977,,
334,7.0,Luxembourg,21,Anne-Marie B [fr],Frère Jacques,French,16,1977,,
335,8.0,Portugal,13,Os Amigos,Portugal no coração,Portuguese,14,1977,,
336,9.0,United Kingdom,20,Lynsey de Paul & Mike Moran,Rock Bottom,English,2,1977,,
337,10.0,Greece,3,"Pascalis [el], Marianna [el], Robert [el] & Bessy",Mathima solfege (Μάθημα σολφέζ),Greek,5,1977,,
