Id;R/O_final;Country;Entry;Artist;Song;Language;Placing_final;Year
1065;13;France;50;Les Fatals Picards;"""L'amour à la française""";"French, English (""Franglais"")";22;2007
1057;14;Latvia;8;Bonaparti.lv;"""Questa notte""";Italian;16;2007
1066;15;Russia;11;Serebro;"""Song #1""";English;3;2007
1067;16;Germany;51;Roger Cicero;"""Frauen regier'n die Welt""";German, English;19;2007
1044;17;Serbia;1;Marija Šerifović;"""Molitva"" (Молитва)";Serbian;1;2007
1068;18;Ukraine;5;Verka Serduchka;"""Dancing Lasha Tumbai"" (Данцінґ Лаша Тумбай)";German, English, Ukrainian, Russian;2;2007
1069;19;United Kingdom;50;Scooch;"""Flying the Flag (For You)""";English;22;2007
1070;20;Romania;9;Todomondo;"""Liubi, Liubi, I Love You"" (Люби, Люби, I love you)";English, Italian, Spanish,Russian, French, Romanian;13;2007
1030;21;Bulgaria;3;Elitsa Todorova & Stoyan Yankoulov;"""Water""";Bulgarian;5;2007
1055;22;Turkey;29;Kenan Doğulu;"""Shake It Up Şekerim""";English;4;2007
1071;23;Armenia;2;Hayko;"""Anytime You Need""";English, Armenian;8;2007
1038;24;Moldova;3;Natalia Barbu;"""Fight""";English;10;2007
1088;1;Romania;10;Nico & Vlad;"""Pe-o margine de lume""";Romanian, Italian;20;2008
1110;2;United Kingdom;51;Andy Abraham;"""Even If""";English;25 ◁;2008
1096;3;Albania;5;Olta Boka;"""Zemrën e lamë peng""";Albanian;17;2008
1111;4;Germany;52;No Angels;"""Disappear""";English;23;2008
1085;5;Armenia;3;Sirusho;"""Qele, qele"" (Քելե, քելե)";English, Armenian;4;2008
1084;6;Bosnia and Herzegovina;14;Laka;"""Pokušaj""";Bosnian;10;2008
1073;7;Israel;31;Boaz;"""The Fire in Your Eyes""";Hebrew, English;9;2008
1087;8;Finland;42;Teräsbetoni;"""Missä miehet ratsastaa""";Finnish;22;2008
1101;9;Croatia;16;Kraljevi ulice & 75 Cents;"""Romanca""";Croatian;21;2008
1081;10;Poland;13;Isis Gee;"""For Life""";English;24;2008
1091;11;Iceland;21;Euroband;"""This Is My Life""";English;14;2008
1093;12;Turkey;30;Mor ve Ötesi;"""Deli""";Turkish;7;2008
1109;13;Portugal;42;Vânia Fernandes;"""Senhora do mar (Negras águas)""";Portuguese;13;2008
1100;14;Latvia;9;Pirates of the Sea;"""Wolves of the Sea""";English;11;2008
1092;15;Sweden;48;Charlotte Perrelli;"""Hero""";English;18;2008
1103;16;Denmark;37;Simon Mathew;"""All Night Long""";English;15;2008
1104;17;Georgia;2;Diana Gurtskaya;"""Peace Will Come""";English;12;2008
1094;18;Ukraine;6;Ani Lorak;"""Shady Lady""";English;2;2008
1112;19;France;51;Sébastien Tellier;"""Divine""";English, French;19;2008
1078;20;Azerbaijan;1;Elnur & Samir;"""Day After Day""";English;8;2008
1090;21;Greece;29;Kalomira;"""Secret Combination""";English;3;2008
1113;22;Spain;48;Rodolfo Chikilicuatre;"""Baila el Chiki-chiki""";Spanish, English;16;2008
1114;23;Serbia;2;Jelena Tomašević feat. Bora Dugić;"""Oro"" (Оро)";Serbian;6;2008
1089;24;Russia;12;Dima Bilan;"""Believe""";English;1;2008
1080;25;Norway;47;Maria Haukaas Storeng;"""Hold On Be Strong""";English;5;2008
1146;1;Lithuania;10;Sasha Son;"""Love""";English, Russian;23;2009
1124;2;Israel;32;Noa & Mira Awad;"""There Must Be Another Way""";English, Hebrew, Arabic;16;2009
1152;3;France;52;Patricia Kaas;"""Et s'il fallait le faire""";French;8;2009
1119;4;Sweden;49;Malena Ernman;"""La voix""";French, English;21;2009
1133;5;Croatia;17;Igor Cukrov feat. Andrea;"""Lijepa Tena""";Croatian;18;2009
1130;6;Portugal;43;Flor-de-Lis;"""Todas as ruas do amor""";Portuguese;15;2009
1126;7;Iceland;22;Yohanna;"""Is It True?""";English;2;2009
1145;8;Greece;30;Sakis Rouvas;"""This Is Our Night""";English;7;2009
1120;9;Armenia;4;Inga & Anush;"""Jan Jan"" (Ջան Ջան)";English, Armenian;10;2009
1153;10;Russia;13;Anastasia Prikhodko;"""Mamo"" (Мамо)";Russian, Ukrainian;11;2009
1144;11;Azerbaijan;2;AySel & Arash;"""Always""";English;3;2009
1132;12;Bosnia and Herzegovina;15;Regina;"""Bistra voda""";Bosnian;9;2009
1147;13;Moldova;5;Nelly Ciobanu;"""Hora din Moldova""";Romanian, English;14;2009
1131;14;Malta;22;Chiara;"""What If We""";English;22;2009
1150;15;Estonia;15;Urban Symphony;"""Rändajad""";Estonian;6;2009
1141;16;Denmark;38;Brinck;"""Believe Again""";English;13;2009
1154;17;Germany;53;Alex Swings Oscar Sings!;"""Miss Kiss Kiss Bang""";English;20;2009
1123;18;Turkey;31;Hadise;"""Düm Tek Tek""";English;4;2009
1148;19;Albania;6;Kejsi Tola;"""Carry Me in Your Dreams""";English;17;2009
1138;20;Norway;48;Alexander Rybak;"""Fairytale""";English;1;2009
1149;21;Ukraine;7;Svetlana Loboda;"""Be My Valentine! (Anti-Crisis Girl)""";English;12;2009
1128;22;Romania;11;Elena;"""The Balkan Girls""";English;19;2009
1155;23;United Kingdom;52;Jade Ewen;"""It's My Time""";English;5;2009
1129;24;Finland;43;Waldo's People;"""Lose Control""";English;25 ◁;2009
1156;25;Spain;49;Soraya Arnelas;"""La noche es para mí""";Spanish;24;2009
1180;1;Azerbaijan;3;Safura;"""Drip Drop""";English;5;2010
1191;2;Spain;50;Daniel Diges;"""Algo pequeñito""";Spanish;15;2010
1192;3;Norway;49;Didrik Solli-Tangen;"""My Heart Is Yours""";English;20;2010
1157;4;Moldova;6;SunStroke Project & Olia Tira;"""Run Away""";English;22;2010
1187;5;Cyprus;28;Jon Lilygreen & The Islanders;"""Life Looks Better in Spring""";English;21;2010
1164;6;Bosnia and Herzegovina;16;Vukašin Brajić;"""Thunder and Lightning""";English;17;2010
1166;7;Belgium;52;Tom Dice;"""Me and My Guitar""";English;6;2010
1163;8;Serbia;4;Milan Stanković;"""Ovo je Balkan"" (Oво je Балкан)";Serbian;13;2010
1172;9;Belarus;7;3+2 feat. Robert Wells;"""Butterflies""";English;24;2010
1185;10;Ireland;44;Niamh Kavanagh;"""It's for You""";English;23;2010
1169;11;Greece;31;Giorgos Alkaios & Friends;"""OPA"" (ΩΠΑ)";Greek[g];8;2010
1193;12;United Kingdom;53;Josh Dubovie;"""That Sounds Good to Me""";English;25 ◁;2010
1189;13;Georgia;3;Sofia Nizharadze;"""Shine""";English;9;2010
1190;14;Turkey;32;maNga;"""We Could Be the Same""";English;2;2010
1168;15;Albania;7;Juliana Pasha;"""It's All About You""";English;16;2010
1173;16;Iceland;23;Hera Björk;"""Je ne sais quoi""";English;19;2010
1181;17;Ukraine;8;Alyosha;"""Sweet People""";English;10;2010
1194;18;France;53;Jessy Matador;"""Allez Ola Olé""";French;12;2010
1183;19;Romania;12;Paula Seling & Ovi;"""Playing with Fire""";English;3;2010
1158;20;Russia;14;Peter Nalitch & Friends;"""Lost and Forgotten""";English;11;2010
1175;21;Armenia;5;Eva Rivas;"""Apricot Stone""";English;7;2010
1195;22;Germany;54;Lena;"""Satellite""";English;1;2010
1170;23;Portugal;44;Filipa Azevedo;"""Há dias assim""";Portuguese;18;2010
1176;24;Israel;33;Harel Skaat;"""Milim"" (מילים)";Hebrew;14;2010
1177;25;Denmark;39;Chanée & N'evergreen;"""In a Moment Like This""";English;4;2010
1205;1;Finland;45;Paradise Oskar;"""Da Da Dam""";English;21;2011
1215;2;Bosnia and Herzegovina;17;Dino Merlin;"""Love in Rewind""";English[k];6;2011
1232;3;Denmark;40;A Friend in London;"""New Tomorrow""";English;5;2011
1212;4;Lithuania;12;Evelina Sašenko;"""C'est ma vie""";English[a];19;2011
1210;5;Hungary;9;Kati Wolf;"""What About My Dreams?""";English, Hungarian;22;2011
1233;6;Ireland;45;Jedward;"""Lipstick""";English;8;2011
1222;7;Sweden;51;Eric Saade;"""Popular""";English;3;2011
1229;8;Estonia;17;Getter Jaani;"""Rockefeller Street""";English;24;2011
1214;9;Greece;32;Loucas Giorkas feat. Stereo Mike;"""Watch My Dance""";English, Greek;7;2011
1202;10;Russia;15;Alexey Vorobyov;"""Get You""";English, Russian;16;2011
1234;11;France;54;Amaury Vassili;"""Sognu""";Corsican;15;2011
1235;12;Italy;37;Raphael Gualazzi;"""Madness of Love""";Italian, English;2;2011
1203;13;Switzerland;52;Anna Rossinelli;"""In Love for a While""";English;25 ◁;2011
1236;14;United Kingdom;54;Blue;"""I Can""";English;11;2011
1221;15;Moldova;7;Zdob și Zdub;"""So Lucky""";English;12;2011
1237;16;Germany;55;Lena;"""Taken by a Stranger""";English;10;2011
1228;17;Romania;13;Hotel FM;"""Change""";English;17;2011
1216;18;Austria;44;Nadine Beiler;"""The Secret Is Love""";English;18;2011
1213;19;Azerbaijan;4;Ell & Nikki;"""Running Scared""";English;1;2011
1227;20;Slovenia;17;Maja Keuc;"""No One""";English;13;2011
1209;21;Iceland;24;Sjonni's Friends;"""Coming Home""";English;20;2011
1238;22;Spain;51;Lucía Pérez;"""Que me quiten lo bailao""";Spanish;23;2011
1220;23;Ukraine;9;Mika Newton;"""Angel""";English;4;2011
1201;24;Serbia;5;Nina;"""Čaroban"" (Чаробан)";Serbian;14;2011
1204;25;Georgia;4;Eldrine;"""One More Day""";English;9;2011
1275;1;United Kingdom;55;Engelbert Humperdinck;"""Love Will Set You Free""";English;25;2012
1253;2;Hungary;10;Compact Disco;"""Sound of Our Hearts""";English;24;2012
1243;3;Albania;9;Rona Nishliu;"""Suus""";Albanian;5;2012
1274;4;Lithuania;13;Donny Montell;"""Love Is Blind""";English;14;2012
1273;5;Bosnia and Herzegovina;18;Maya Sar;"""Korake ti znam""";Bosnian;18;2012
1252;6;Russia;16;Buranovskiye Babushki;"""Party for Everybody""";Udmurt, English;2;2012
1240;7;Iceland;25;Greta Salóme & Jónsi;"""Never Forget""";English;20;2012
1250;8;Cyprus;30;Ivi Adamou;"""La La Love""";English;16;2012
1276;9;France;55;Anggun;"""Echo (You and I)""";French, English;22;2012
1277;10;Italy;38;Nina Zilli;"""L'amore è femmina (Out of Love)""";English, Italian;9;2012
1270;11;Estonia;18;Ott Lepland;"""Kuula""";Estonian;6;2012
1272;12;Norway;51;Tooji;"""Stay""";English;26 ◁;2012
1278;13;Azerbaijan;5;Sabina Babayeva;"""When the Music Dies""";English;4;2012
1244;14;Romania;14;Mandinga;"""Zaleilah""";Spanish, English;12;2012
1251;15;Denmark;41;Soluna Samay;"""Should've Known Better""";English;23;2012
1241;16;Greece;33;Eleftheria Eleftheriou;"""Aphrodisiac""";English;17;2012
1267;17;Sweden;52;Loreen;"""Euphoria""";English;1;2012
1269;18;Turkey;34;Can Bonomo;"""Love Me Back""";English;7;2012
1279;19;Spain;52;Pastora Soler;"""Quédate conmigo""";Spanish;10;2012
1280;20;Germany;56;Roman Lob;"""Standing Still""";English;8;2012
1260;21;Malta;25;Kurt Calleja;"""This Is the Night""";English;21;2012
1258;22;Macedonia;12;Kaliopi;"""Crno i belo"" (Црно и бело)";Macedonian;13;2012
1256;23;Ireland;46;Jedward;"""Waterline""";English;19;2012
1257;24;Serbia;6;Željko Joksimović;"""Nije ljubav stvar"" (Није љубав ствар)";Serbian;3;2012
1263;25;Ukraine;10;Gaitana;"""Be My Guest""";English;15;2012
1255;26;Moldova;8;Pasha Parfeny;"""Lăutar""";English;11;2012
1314;1;France;56;Amandine Bourgeois;"""L'enfer et moi""";French;23;2013
1290;2;Lithuania;14;Andrius Pojavis;"""Something""";English;22;2013
1292;3;Moldova;9;Aliona Moon;"""O mie""";Romanian;11;2013
1301;4;Finland;47;Krista Siegfrids;"""Marry Me""";English;24;2013
1315;5;Spain;53;ESDM;"""Contigo hasta el final""";Spanish[g];25;2013
1295;6;Belgium;55;Roberto Bellarosa;"""Love Kills""";English;12;2013
1282;7;Estonia;19;Birgit;"""Et uus saaks alguse""";Estonian;20;2013
1291;8;Belarus;10;Alyona Lanskaya;"""Solayoh""";English;16;2013
1302;9;Malta;26;Gianluca;"""Tomorrow""";English;8;2013
1286;10;Russia;17;Dina Garipova;"""What If""";English;5;2013
1316;11;Germany;57;Cascada;"""Glorious""";English;21;2013
1307;12;Armenia;7;Dorians;"""Lonely Planet""";English;18;2013
1288;13;Netherlands;54;Anouk;"""Birds""";English;9;2013
1313;14;Romania;15;Cezar;"""It's My Life""";English;13;2013
1317;15;United Kingdom;56;Bonnie Tyler;"""Believe in Me""";English;19;2013
1318;16;Sweden;53;Robin Stjernberg;"""You""";English;14;2013
1308;17;Hungary;11;ByeAlex;"""Kedvesem (Zoohacker Remix)""";Hungarian;10;2013
1285;18;Denmark;42;Emmelie de Forest;"""Only Teardrops""";English;1;2013
1304;19;Iceland;26;Eythor Ingi;"""Ég á líf""";Icelandic;17;2013
1300;20;Azerbaijan;6;Farid Mammadov;"""Hold Me""";English;2;2013
1305;21;Greece;34;Koza Mostra feat. Agathon Iakovidis;"""Alcohol Is Free""";Greek[g];6;2013
1287;22;Ukraine;11;Zlata Ognevich;"""Gravity""";English;3;2013
1319;23;Italy;39;Marco Mengoni;"""L'essenziale""";Italian;7;2013
1309;24;Norway;52;Margaret Berger;"""I Feed You My Love""";English;4;2013
1311;25;Georgia;6;Nodi Tatishvili & Sophie Gelovani;"""Waterfall""";English;15;2013
1293;26;Ireland;47;Ryan Dolan;"""Only Love Survives""";English;26 ◁;2013
1328;1;Ukraine;12;Mariya Yaremchuk;"""Tick-Tock""";English;6;2014
1345;2;Belarus;11;Teo;"""Cheesecake""";English;16;2014
1327;3;Azerbaijan;7;Dilara Kazimova;"""Start a Fire""";English;22;2014
1324;4;Iceland;27;Pollapönk;"""No Prejudice""";English;15;2014
1338;5;Norway;53;Carl Espen;"""Silent Storm""";English;8;2014
1350;6;Romania;16;Paula Seling & Ovi;"""Miracle""";English;12;2014
1320;7;Armenia;8;Aram MP3;"""Not Alone""";English;4;2014
1334;8;Montenegro;6;Sergej Ćetković;"""Moj svijet"" (Мој свијет)";Montenegrin;19;2014
1340;9;Poland;17;Donatan & Cleo;"""My Słowianie – We Are Slavic""";Polish, English;14;2014
1348;10;Greece;35;Freaky Fortune feat. RiskyKidd;"""Rise Up""";English;20;2014
1341;11;Austria;47;Conchita Wurst;"""Rise Like a Phoenix""";English;1;2014
1351;12;Germany;58;Elaiza;"""Is It Right""";English;18;2014
1323;13;Sweden;54;Sanna Nielsen;"""Undo""";English;3;2014
1352;14;France;57;Twin Twin;"""Moustache""";French[g][b];26 ◁;2014
1326;15;Russia;18;Tolmachevy Sisters;"""Shine""";English;7;2014
1353;16;Italy;40;Emma;"""La mia città""";Italian[g];21;2014
1349;17;Slovenia;20;Tinkara Kovač;"""Round and Round""";English, Slovene;25;2014
1343;18;Finland;48;Softengine;"""Something Better""";English;11;2014
1354;19;Spain;54;Ruth Lorenzo;"""Dancing in the Rain""";English, Spanish;10;2014
1347;20;Switzerland;55;Sebalter;"""Hunter of Stars""";English;13;2014
1335;21;Hungary;12;András Kállay-Saunders;"""Running""";English;5;2014
1336;22;Malta;27;Firelight;"""Coming Home""";English;23;2014
1355;23;Denmark;43;Basim;"""Cliche Love Song""";English;9;2014
1333;24;Netherlands;55;The Common Linnets;"""Calm After the Storm""";English;2;2014
1331;25;San Marino;5;Valentina Monetta;"""Maybe""";English;24;2014
1356;26;United Kingdom;57;Molly;"""Children of the Universe""";English;17;2014
1388;1;Slovenia;21;Maraaya;"""Here for You""";English;14;2015
1390;2;France;58;Lisa Angell;"""N'oubliez pas""";French;25;2015
1381;3;Israel;38;Nadav Guedj;"""Golden Boy""";English;9;2015
1363;4;Estonia;21;Elina Born & Stig Rästa;"""Goodbye to Yesterday""";English;7;2015
1391;5;United Kingdom;58;Electro Velvet;"""Still in Love with You""";English;24;2015
1358;6;Armenia;9;Genealogy;"""Face the Shadow""";English;16;2015
1373;7;Lithuania;16;Monika Linkytė & Vaidas Baumila;"""This Time""";English;18;2015
1365;8;Serbia;8;Bojana Stamenov;"""Beauty Never Lies""";English;10;2015
1378;9;Norway;54;Mørland & Debrah Scarlett;"""A Monster Like Me""";English;8;2015
1385;10;Sweden;55;Måns Zelmerlöw;"""Heroes""";English;1;2015
1387;11;Cyprus;32;John Karayiannis;"""One Thing I Should Have Done""";English;22;2015
1392;12;Australia;1;Guy Sebastian;"""Tonight Again""";English;5;2015
1359;13;Belgium;57;Loïc Nottet;"""Rhythm Inside""";English;4;2015
1393;14;Austria;48;The Makemakes;"""I Am Yours""";English;26;2015
1362;15;Greece;36;Maria Elena Kyriakou;"""One Last Breath""";English;19;2015
1376;16;Montenegro;7;Knez;"""Adio"" (Адио)";Montenegrin;13;2015
1394;17;Germany;59;Ann Sophie;"""Black Smoke""";English;27 ◁;2015
1389;18;Poland;18;Monika Kuszyńska;"""In the Name of Love""";English;23;2015
1382;19;Latvia;16;Aminata;"""Love Injected""";English;6;2015
1371;20;Romania;17;Voltaj;"""De la capăt (All Over Again)""";Romanian, English;15;2015
1395;21;Spain;55;Edurne;"""Amanecer""";Spanish;21;2015
1366;22;Hungary;13;Boggie;"""Wars for Nothing""";English;20;2015
1372;23;Georgia;8;Nina Sublatti;"""Warrior""";English;11;2015
1383;24;Azerbaijan;8;Elnur Hüseynov;"""Hour of the Wolf""";English;12;2015
1368;25;Russia;19;Polina Gagarina;"""A Million Voices""";English;2;2015
1370;26;Albania;12;Elhaida Dani;"""I'm Alive""";English;17;2015
1396;27;Italy;41;Il Volo;"""Grande amore""";Italian;3;2015
1432;1;Belgium;58;Laura Tesoro;"""What's the Pressure""";English;10;2016
1406;2;Czech Republic;5;Gabriela Gunčíková;"""I Stand""";English;25;2016
1402;3;Netherlands;57;Douwe Bob;"""Slow Down""";English;11;2016
1410;4;Azerbaijan;9;Samra;"""Miracle""";English;17;2016
1400;5;Hungary;14;Freddie;"""Pioneer""";English;19;2016
1433;6;Italy;42;Francesca Michielin;"""No Degree of Separation""";Italian, English;16;2016
1418;7;Israel;39;Hovi Star;"""Made of Stars""";English;14;2016
1426;8;Bulgaria;10;Poli Genova;"""If Love Was a Crime""";English, Bulgarian;4;2016
1434;9;Sweden;56;Frans;"""If I Were Sorry""";English;5;2016
1435;10;Germany;60;Jamie-Lee;"""Ghost""";English;26 ◁;2016
1436;11;France;59;Amir;"""J'ai cherché""";French, English;6;2016
1416;12;Poland;19;Michał Szpak;"""Color of Your Life""";English;8;2016
1424;13;Australia;2;Dami Im;"""Sound of Silence""";English;2;2016
1407;14;Cyprus;33;Minus One;"""Alter Ego""";English;21;2016
1420;15;Serbia;9;Sanja Vučić ZAA;"""Goodbye (Shelter)""";English;18;2016
1423;16;Lithuania;17;Donny Montell;"""I've Been Waiting for This Night""";English;9;2016
1401;17;Croatia;22;Nina Kraljić;"""Lighthouse""";English;23;2016
1405;18;Russia;20;Sergey Lazarev;"""You Are the Only One""";English;3;2016
1437;19;Spain;56;Barei;"""Say Yay!""";English;22;2016
1415;20;Latvia;17;Justs;"""Heartbeat""";English;15;2016
1428;21;Ukraine;13;Jamala;"""1944""";English, Crimean Tatar;1;2016
1414;22;Malta;29;Ira Losco;"""Walk on Water""";English;12;2016
1430;23;Georgia;9;Nika Kocharov & Young Georgian Lolitaz;"""Midnight Gold""";English;20;2016
1408;24;Austria;49;Zoë;"""Loin d'ici""";French;13;2016
1438;25;United Kingdom;59;Joe & Jake;"""You're Not Alone""";English;24;2016
1403;26;Armenia;10;Iveta Mukuchyan;"""LoveWave""";English;7;2016
1474;1;Israel;40;Imri;"""I Feel Alive""";English;23;2017
1449;2;Poland;20;Kasia Moś;"""Flashlight""";English;22;2017
1470;3;Belarus;14;Naviband;"""Story of My Life""";Belarusian;17;2017
1458;4;Austria;50;Nathan Trent;"""Running on Air""";English;16;2017
1454;5;Armenia;11;Artsvik;"""Fly with Me""";English;18;2017
1462;6;Netherlands;58;O'G3NE;"""Lights and Shadows""";English;11;2017
1450;7;Moldova;13;SunStroke Project;"""Hey, Mamma!""";English;3;2017
1463;8;Hungary;15;Joci Pápai;"""Origo""";Hungarian;8;2017
1475;9;Italy;43;Francesco Gabbani;"""Occidentali's Karma""";Italian[g][t][u];6;2017
1464;10;Denmark;46;Anja;"""Where I Am""";English;20;2017
1447;11;Portugal;49;Salvador Sobral;"""Amar pelos dois""";Portuguese;1;2017
1446;12;Azerbaijan;10;Dihaj;"""Skeletons""";English;14;2017
1467;13;Croatia;23;Jacques Houdek;"""My Friend""";English, Italian;13;2017
1441;14;Australia;3;Isaiah;"""Don't Come Easy""";English;9;2017
1448;15;Greece;38;Demy;"""This Is Love""";English;19;2017
1476;16;Spain;57;Manel Navarro;"""Do It for Your Lover""";Spanish, English;26 ◁;2017
1468;17;Norway;56;Jowst;"""Grab the Moment""";English;10;2017
1477;18;United Kingdom;60;Lucie Jones;"""Never Give Up on You""";English;15;2017
1453;19;Cyprus;34;Hovig;"""Gravity""";English;21;2017
